"File Name","Object Type","Title","Item Sequence","Parent ARK","Item ARK","Bucketeer State","IIIF Access URL"
"Masters/othermasters/DEPlalucha/images/ihc_lalucha_microfilm/ihc_lalucha_microfilm_18990712_001.tif","Page","Page 1","1","ark:/21198/z1nw8s7f","ark:/21198/z1b65t0w","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1b65t0w"
"Masters/othermasters/DEPlalucha/images/ihc_lalucha_microfilm/ihc_lalucha_microfilm_18990712_002.tif","Page","Page 2","2","ark:/21198/z1nw8s7f","ark:/21198/z16f5273","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz16f5273"
"Masters/othermasters/DEPlalucha/images/ihc_lalucha_microfilm/ihc_lalucha_microfilm_18990712_003.tif","Page","Page 3","3","ark:/21198/z1nw8s7f","ark:/21198/z12p49fg","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz12p49fg"
"Masters/othermasters/DEPlalucha/images/ihc_lalucha_microfilm/ihc_lalucha_microfilm_18990713_001.tif","Page","Page 1","1","ark:/21198/z1j481k9","ark:/21198/z1xx3szs","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1xx3szs"
"Masters/othermasters/DEPlalucha/images/ihc_lalucha_microfilm/ihc_lalucha_microfilm_18990713_002.tif","Page","Page 2","2","ark:/21198/z1j481k9","ark:/21198/z1t53292","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1t53292"
"Masters/othermasters/DEPlalucha/images/ihc_lalucha_microfilm/ihc_lalucha_microfilm_18990713_003.tif","Page","Page 3","3","ark:/21198/z1j481k9","ark:/21198/z1ph10w9","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1ph10w9"
"Masters/othermasters/DEPlalucha/images/ihc_lalucha_microfilm/ihc_lalucha_microfilm_18990714_001.tif","Page","Page 1","1","ark:/21198/z1dc78xg","ark:/21198/z1jr087w","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1jr087w"
"Masters/othermasters/DEPlalucha/images/ihc_lalucha_microfilm/ihc_lalucha_microfilm_18990714_002.tif","Page","Page 2","2","ark:/21198/z1dc78xg","ark:/21198/z1dz9hkh","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1dz9hkh"
"Masters/othermasters/DEPlalucha/images/ihc_lalucha_microfilm/ihc_lalucha_microfilm_18990714_003.tif","Page","Page 3","3","ark:/21198/z1dc78xg","ark:/21198/z1968rs6","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1968rs6"
"Masters/othermasters/DEPlalucha/images/ihc_lalucha_microfilm/ihc_lalucha_microfilm_18990715_001.tif","Page","Page 1","1","ark:/21198/z18m6j48","ark:/21198/z15f8128","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz15f8128"
